                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95538,                0.81194,                 0.9669,                0.98367,                0.99374,                  0.995,                0.74961,                0.95507,                0.99182,                 1.0217,              0.0011059,              0.0011059,              0.0011059
                     36,                0.99794,                0.82209,                0.91754,                0.95733,                      1,                  0.995,                0.68321,                 1.0329,                0.93168,                 1.0129,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0493,                0.87343,                 1.0249,                0.98882,                      1,                  0.995,                0.67254,                0.95446,                 0.7943,                 0.9676,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0964,                0.84975,                 1.1235,                0.99182,                      1,                  0.995,                0.76722,                0.87424,                0.73559,                0.96503,              0.0010564,              0.0010564,              0.0010564
                     39,                   0.98,                0.77215,                0.97401,                0.98058,                      1,                  0.995,                0.69606,                0.92779,                0.76883,                0.98464,              0.0010399,              0.0010399,              0.0010399
                     40,                 0.9474,                0.73333,                0.94574,                0.98544,                      1,                  0.995,                0.74098,                0.89867,                0.79765,                0.97535,              0.0010234,              0.0010234,              0.0010234
                     41,                0.93537,                0.73866,                0.94558,                 0.9904,                      1,                  0.995,                0.76532,                0.95645,                0.74408,                0.98321,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.9177,                0.72561,                0.95683,                0.98805,                      1,                  0.995,                0.75723,                 1.0471,                0.72043,                 0.9897,             0.00099036,             0.00099036,             0.00099036
                     43,                0.92166,                0.75149,                0.95524,                0.97853,                      1,                  0.995,                0.75984,                0.94808,                0.71436,                0.96731,             0.00097386,             0.00097386,             0.00097386
                     44,                0.95119,                0.76397,                0.97022,                0.97577,                      1,                  0.995,                 0.7371,                0.92033,                0.71133,                0.98741,             0.00095736,             0.00095736,             0.00095736
                     45,                0.94168,                0.77493,                0.99984,                0.98483,                      1,                  0.995,                0.72029,                 0.9269,                0.70794,                0.99443,             0.00094085,             0.00094085,             0.00094085
                     46,                0.85001,                0.82087,                0.88986,                0.97396,                      1,                  0.995,                0.75087,                 0.9897,                0.71205,                0.99739,             0.00092435,             0.00092435,             0.00092435
                     47,                0.95384,                0.72617,                 0.9854,                0.97692,                      1,                  0.995,                0.74619,                0.92752,                0.74643,                0.95681,             0.00090785,             0.00090785,             0.00090785
                     48,                0.90094,                0.66493,                0.93731,                0.98431,                      1,                  0.995,                0.72148,                 1.0966,                0.77954,                 1.0238,             0.00089134,             0.00089134,             0.00089134
