                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4418,                  1.234,                 1.5247,                0.69859,                0.68493,                0.74595,                0.37908,                 1.6445,                 1.2624,                 1.7396,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.4119,                 1.2231,                 1.5085,                0.69271,                0.65068,                 0.6834,                0.33072,                 1.7596,                 1.4477,                 1.9068,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.4194,                 1.2364,                 1.5116,                 0.6576,                0.63801,                0.69415,                0.35406,                 1.6785,                 1.2957,                 1.8179,               0.001538,               0.001538,               0.001538
                     37,                 1.4069,                 1.2136,                 1.5001,                0.63219,                0.68836,                0.67888,                0.34471,                 1.6381,                 1.3403,                 1.7848,              0.0015248,              0.0015248,              0.0015248
                     38,                  1.403,                 1.1738,                 1.5006,                0.74772,                0.68493,                0.73813,                0.40088,                 1.6428,                 1.2161,                 1.7919,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.3796,                 1.1437,                 1.4743,                0.72733,                0.60616,                0.67385,                0.35869,                 1.6797,                 1.2509,                 1.8227,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.3763,                 1.1504,                 1.4765,                0.76106,                 0.7089,                0.75771,                0.40451,                 1.6559,                  1.144,                 1.8081,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.3702,                 1.1346,                 1.4681,                0.65873,                0.65068,                0.65513,                0.32733,                 1.7035,                 1.3437,                 1.8798,               0.001472,               0.001472,               0.001472
                     42,                 1.3412,                 1.1223,                 1.4608,                0.69667,                   0.75,                0.76737,                0.41624,                 1.5723,                 1.1606,                 1.7517,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.3486,                 1.1215,                 1.4838,                0.73083,                0.74315,                 0.7643,                0.40346,                 1.6624,                 1.1457,                 1.8172,              0.0014456,              0.0014456,              0.0014456
                     44,                  1.328,                 1.0799,                 1.4729,                0.71053,                0.71918,                0.69826,                0.35309,                  1.695,                 1.2162,                 1.8876,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.3404,                 1.1018,                 1.4581,                0.71001,                 0.7226,                0.73381,                0.36383,                 1.6883,                 1.1871,                 1.8489,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.3396,                 1.0906,                 1.4316,                0.75337,                0.69043,                0.77095,                0.40783,                 1.6268,                 1.2015,                 1.7666,               0.001406,               0.001406,               0.001406
                     47,                 1.2981,                  1.053,                 1.4249,                0.77292,                0.68493,                0.76307,                0.41325,                 1.6521,                 1.1276,                  1.774,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.3052,                 1.0488,                 1.4247,                0.73646,                0.70818,                0.75195,                0.39631,                 1.6844,                 1.1614,                 1.8039,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.3152,                 1.0619,                 1.4334,                0.76797,                 0.7363,                0.80674,                0.42414,                 1.6467,                 1.1216,                 1.7939,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.2905,                 1.0408,                 1.4054,                0.77766,                0.68493,                0.78841,                0.43309,                 1.5482,                 1.1344,                 1.7143,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.3137,                 1.0151,                 1.4282,                 0.7676,                0.66738,                0.76026,                0.38687,                   1.62,                 1.1363,                 1.7357,                0.00134,                0.00134,                0.00134
                     52,                  1.301,                 0.9925,                 1.3981,                0.76017,                0.71642,                0.77631,                 0.4198,                 1.5998,                 1.0849,                 1.7456,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.2894,                  1.018,                  1.403,                0.70702,                0.66438,                0.68651,                0.34264,                 1.6702,                 1.2343,                  1.819,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.3029,                 1.0156,                 1.4093,                 0.7358,                0.68151,                0.69902,                0.36994,                 1.6812,                 1.2783,                 1.8367,              0.0013004,              0.0013004,              0.0013004
                     55,                 1.2571,                 1.0124,                 1.3966,                 0.7847,                0.71145,                0.77323,                0.41009,                  1.643,                 1.1116,                 1.8237,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.2464,                 1.0001,                  1.388,                 0.7465,                0.73617,                0.77176,                0.42632,                 1.6294,                 1.1053,                 1.7963,               0.001274,               0.001274,               0.001274
                     57,                 1.2636,                0.99638,                 1.4008,                0.73876,                0.72636,                0.78725,                0.42541,                 1.5864,                 1.0786,                 1.7318,              0.0012608,              0.0012608,              0.0012608
                     58,                 1.2742,                 0.9796,                 1.3892,                0.71112,                0.71233,                0.77098,                0.40823,                 1.5975,                   1.12,                 1.7488,              0.0012476,              0.0012476,              0.0012476
                     59,                  1.256,                0.99172,                 1.3842,                0.75575,                0.71233,                0.75788,                0.40575,                 1.6598,                 1.0895,                 1.8449,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.2478,                0.97721,                 1.3824,                0.79022,                0.70205,                0.77341,                0.41959,                 1.6141,                 1.0552,                 1.7629,              0.0012212,              0.0012212,              0.0012212
                     61,                 1.2479,                0.95274,                 1.3677,                0.78854,                   0.75,                0.79335,                0.43211,                 1.6141,                 1.0461,                 1.7685,               0.001208,               0.001208,               0.001208
                     62,                  1.202,                0.92071,                 1.3442,                0.78572,                0.70323,                0.79364,                0.41293,                 1.6585,                 1.0638,                 1.8278,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.2077,                 0.9354,                 1.3466,                0.75817,                0.75685,                0.80073,                0.42159,                 1.6519,                 1.0306,                 1.7971,              0.0011816,              0.0011816,              0.0011816
                     64,                 1.2188,                0.93898,                 1.3526,                0.70845,                0.76561,                0.79605,                0.42914,                 1.5921,                 1.0436,                  1.758,              0.0011684,              0.0011684,              0.0011684
                     65,                  1.187,                0.91092,                 1.3335,                0.72745,                 0.7226,                0.75572,                 0.3998,                  1.699,                 1.0874,                 1.8682,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.1825,                0.91595,                 1.3473,                0.82773,                0.66438,                0.77816,                0.41924,                 1.5994,                 1.0272,                 1.7721,               0.001142,               0.001142,               0.001142
                     67,                 1.1927,                0.88917,                 1.3331,                0.77939,                0.70173,                 0.7726,                0.42668,                 1.6349,                 1.0218,                  1.819,              0.0011288,              0.0011288,              0.0011288
                     68,                 1.1939,                0.88984,                 1.3345,                 0.7356,                0.68836,                0.75442,                0.42048,                 1.6715,                 1.0836,                  1.842,              0.0011156,              0.0011156,              0.0011156
                     69,                 1.1732,                0.86224,                 1.3201,                0.75466,                0.78425,                0.79635,                0.44526,                 1.6067,                0.97721,                 1.7785,              0.0011024,              0.0011024,              0.0011024
                     70,                 1.1988,                0.92276,                 1.3432,                0.74334,                0.64041,                0.72156,                0.35655,                 1.7129,                 1.2164,                 1.8422,              0.0010892,              0.0010892,              0.0010892
                     71,                 1.1925,                0.90952,                 1.3277,                 0.7506,                0.76027,                0.78969,                0.43322,                 1.6669,                 1.0546,                 1.8372,               0.001076,               0.001076,               0.001076
                     72,                 1.1551,                0.87274,                 1.3093,                 0.7848,                0.76184,                0.78363,                 0.4355,                  1.668,                0.98436,                 1.8386,              0.0010628,              0.0010628,              0.0010628
                     73,                 1.1553,                0.86133,                 1.3153,                0.76836,                0.71918,                0.76501,                0.37972,                 1.6919,                 1.1107,                  1.882,              0.0010496,              0.0010496,              0.0010496
                     74,                 1.1669,                0.86498,                 1.3305,                0.80435,                0.69521,                 0.7998,                0.41427,                 1.6492,                 1.0418,                 1.7956,              0.0010364,              0.0010364,              0.0010364
                     75,                 1.1341,                0.85672,                 1.3016,                 0.7934,                0.74658,                0.80882,                0.44476,                 1.6219,                0.97619,                 1.8141,              0.0010232,              0.0010232,              0.0010232
                     76,                 1.1279,                0.83389,                 1.2895,                0.78992,                0.74688,                0.78764,                0.42481,                 1.6409,                0.99456,                 1.8456,                0.00101,                0.00101,                0.00101
                     77,                 1.1094,                0.80892,                 1.2804,                0.80663,                0.72858,                0.79038,                0.44348,                 1.6485,                   0.95,                  1.813,              0.0009968,              0.0009968,              0.0009968
                     78,                 1.1011,                0.81398,                 1.2882,                0.76247,                 0.7637,                0.80232,                 0.4309,                  1.611,                0.98949,                 1.7501,              0.0009836,              0.0009836,              0.0009836
                     79,                 1.1087,                0.81401,                 1.2735,                0.74818,                 0.7774,                0.79454,                0.43811,                 1.6373,                 1.0095,                 1.8375,              0.0009704,              0.0009704,              0.0009704
                     80,                 1.1125,                0.83442,                 1.2936,                 0.7844,                0.69863,                0.78247,                0.42246,                 1.6415,                    1.1,                 1.8166,              0.0009572,              0.0009572,              0.0009572
                     81,                 1.1189,                0.81143,                 1.2896,                0.79776,                 0.7565,                 0.8127,                0.44062,                 1.6198,                0.98879,                 1.8014,               0.000944,               0.000944,               0.000944
                     82,                 1.1161,                0.82924,                 1.2893,                0.72078,                0.74658,                0.78444,                0.42112,                 1.6699,                 1.0587,                 1.8456,              0.0009308,              0.0009308,              0.0009308
                     83,                   1.08,                0.78552,                 1.2712,                0.79993,                0.72573,                 0.7913,                0.41484,                 1.7046,                0.96695,                 1.8839,              0.0009176,              0.0009176,              0.0009176
                     84,                 1.0809,                0.77168,                 1.2477,                0.75434,                0.78425,                0.79509,                0.41717,                 1.6741,                 1.0107,                  1.887,              0.0009044,              0.0009044,              0.0009044
                     85,                 1.0998,                0.81035,                 1.2685,                 0.7776,                0.72945,                0.79921,                0.43635,                 1.6434,                0.99821,                 1.8292,              0.0008912,              0.0008912,              0.0008912
                     86,                 1.0818,                0.78537,                 1.2504,                0.76266,                0.77397,                0.78803,                0.43173,                 1.6378,                0.96559,                 1.8641,               0.000878,               0.000878,               0.000878
                     87,                 1.0798,                0.76708,                 1.2621,                0.77917,                0.72945,                0.77327,                0.42537,                 1.6516,                  1.012,                 1.8482,              0.0008648,              0.0008648,              0.0008648
                     88,                 1.0655,                0.77073,                 1.2562,                0.73484,                   0.75,                0.76698,                0.41969,                 1.6718,                0.98891,                 1.8731,              0.0008516,              0.0008516,              0.0008516
                     89,                 1.0593,                0.76809,                 1.2528,                0.73714,                 0.7774,                0.76743,                0.40288,                 1.6954,                0.95929,                 1.9027,              0.0008384,              0.0008384,              0.0008384
                     90,                 1.0632,                0.76341,                 1.2589,                0.70137,                0.77055,                0.76715,                0.40146,                  1.716,                 1.0178,                 1.9266,              0.0008252,              0.0008252,              0.0008252
                     91,                 1.0686,                0.76298,                  1.255,                0.78475,                0.74315,                0.79249,                0.43373,                 1.6526,                0.96922,                 1.8539,               0.000812,               0.000812,               0.000812
                     92,                 1.0476,                0.75662,                 1.2523,                 0.7802,                 0.7774,                0.81975,                0.42657,                 1.7176,                 1.0189,                  1.908,              0.0007988,              0.0007988,              0.0007988
                     93,                 1.0545,                0.73226,                 1.2522,                0.78654,                0.74315,                0.79692,                0.42669,                 1.6942,                0.97761,                 1.8844,              0.0007856,              0.0007856,              0.0007856
                     94,                  1.043,                0.75349,                 1.2483,                0.79442,                   0.75,                0.80666,                0.42399,                 1.6933,                0.98682,                 1.8752,              0.0007724,              0.0007724,              0.0007724
                     95,                 1.0312,                0.74387,                 1.2316,                  0.792,                0.76027,                0.81495,                0.42421,                 1.6907,                 0.9704,                 1.8758,              0.0007592,              0.0007592,              0.0007592
                     96,                 1.0234,                0.72151,                  1.224,                0.76761,                0.78053,                0.80303,                0.42756,                  1.661,                0.95302,                 1.8666,               0.000746,               0.000746,               0.000746
                     97,                  1.013,                0.73118,                 1.2162,                0.80488,                0.75342,                0.81327,                 0.4271,                 1.7192,                0.94358,                 1.9181,              0.0007328,              0.0007328,              0.0007328
                     98,                 0.9852,                0.70775,                 1.1999,                 0.8262,                0.73259,                0.81564,                0.42504,                 1.6871,                0.95559,                 1.8882,              0.0007196,              0.0007196,              0.0007196
                     99,                 1.0034,                 0.7243,                 1.2173,                0.79857,                0.77389,                0.82802,                0.43581,                 1.6851,                0.94822,                 1.8758,              0.0007064,              0.0007064,              0.0007064
                    100,                 1.0356,                0.74275,                 1.2391,                0.75763,                0.77079,                0.80123,                  0.424,                 1.7236,                0.96151,                 1.8991,              0.0006932,              0.0006932,              0.0006932
                    101,                 0.9909,                0.71841,                 1.2003,                0.80615,                0.76905,                0.82326,                0.44417,                 1.6736,                 0.9108,                 1.8847,                0.00068,                0.00068,                0.00068
                    102,                0.97239,                0.69424,                 1.2048,                0.76499,                0.75342,                 0.7951,                0.44191,                 1.6761,                0.96085,                 1.9057,              0.0006668,              0.0006668,              0.0006668
                    103,                0.98328,                0.69731,                 1.2141,                0.77448,                0.74658,                0.80515,                 0.4308,                 1.6836,                0.97359,                 1.8943,              0.0006536,              0.0006536,              0.0006536
                    104,                0.98151,                0.68781,                 1.2032,                0.78798,                0.77055,                0.81342,                0.43411,                 1.6934,                0.93732,                 1.9055,              0.0006404,              0.0006404,              0.0006404
                    105,                0.98938,                0.68449,                 1.1971,                0.79972,                0.69178,                 0.8002,                0.43514,                  1.674,                0.97908,                 1.8864,              0.0006272,              0.0006272,              0.0006272
                    106,                0.96846,                0.65007,                 1.1869,                0.81219,                0.71575,                0.79443,                0.43259,                 1.6738,                 0.9436,                  1.892,               0.000614,               0.000614,               0.000614
                    107,                0.95496,                0.67724,                 1.1847,                0.81386,                0.74869,                0.80798,                0.44748,                   1.65,                  0.922,                 1.8946,              0.0006008,              0.0006008,              0.0006008
                    108,                0.95366,                0.67281,                 1.1792,                0.81253,                0.74217,                0.81013,                0.43383,                 1.6687,                0.94489,                 1.8829,              0.0005876,              0.0005876,              0.0005876
                    109,                0.93449,                0.66243,                 1.1772,                0.73457,                0.77055,                 0.8243,                0.43696,                 1.6939,                0.98717,                  1.919,              0.0005744,              0.0005744,              0.0005744
                    110,                0.95412,                0.67302,                 1.1713,                0.75926,                0.80822,                0.82812,                0.45192,                  1.663,                0.91379,                 1.9051,              0.0005612,              0.0005612,              0.0005612
                    111,                0.93027,                 0.6493,                  1.173,                0.80708,                0.77397,                0.82416,                0.43904,                 1.7171,                0.89842,                 1.9278,               0.000548,               0.000548,               0.000548
                    112,                0.92708,                 0.6333,                 1.1661,                0.81282,                0.77397,                0.81602,                0.43237,                 1.6916,                0.94175,                 1.9219,              0.0005348,              0.0005348,              0.0005348
                    113,                0.94191,                0.66099,                 1.1824,                0.73053,                0.79452,                0.80262,                0.44161,                 1.6587,                 0.9763,                 1.8619,              0.0005216,              0.0005216,              0.0005216
                    114,                0.93131,                0.64737,                 1.1794,                 0.7967,                0.72471,                0.78484,                0.44112,                  1.675,                0.97114,                 1.9049,              0.0005084,              0.0005084,              0.0005084
                    115,                 0.8972,                 0.6301,                 1.1397,                0.76042,                0.75003,                0.78961,                0.43675,                 1.6804,                0.96497,                 1.9305,              0.0004952,              0.0004952,              0.0004952
                    116,                0.90932,                   0.64,                 1.1609,                0.78961,                0.75832,                0.79338,                0.42448,                 1.6846,                0.96212,                 1.9354,               0.000482,               0.000482,               0.000482
                    117,                0.90269,                0.61972,                  1.144,                0.78356,                0.75629,                0.79002,                0.42743,                 1.6474,                0.95331,                 1.9058,              0.0004688,              0.0004688,              0.0004688
                    118,                 0.9217,                 0.6319,                 1.1584,                0.80139,                0.73973,                0.80083,                0.43426,                 1.6989,                 0.9045,                 1.9481,              0.0004556,              0.0004556,              0.0004556
                    119,                 0.8955,                0.61358,                 1.1542,                0.84077,                0.70524,                0.80612,                0.44932,                  1.652,                0.93951,                 1.9239,              0.0004424,              0.0004424,              0.0004424
                    120,                 0.8926,                0.61769,                 1.1551,                0.80494,                 0.7363,                0.80934,                0.44825,                 1.6531,                0.91694,                 1.8981,              0.0004292,              0.0004292,              0.0004292
                    121,                0.89675,                0.61465,                 1.1588,                0.81397,                0.75342,                0.81483,                0.44112,                 1.6933,                0.91563,                 1.9225,               0.000416,               0.000416,               0.000416
                    122,                0.89991,                0.62372,                 1.1605,                0.80858,                0.77397,                0.82228,                0.44294,                 1.6858,                0.93904,                 1.8974,              0.0004028,              0.0004028,              0.0004028
                    123,                0.88209,                0.61238,                 1.1346,                0.78645,                0.78194,                0.81352,                0.43285,                 1.7058,                0.92097,                 1.9605,              0.0003896,              0.0003896,              0.0003896
                    124,                0.88354,                0.61251,                 1.1373,                0.72524,                0.80137,                0.79594,                0.43594,                 1.6996,                0.92659,                 1.9588,              0.0003764,              0.0003764,              0.0003764
                    125,                0.86374,                0.60334,                 1.1431,                0.83984,                0.73973,                0.82701,                0.43986,                 1.6871,                0.90944,                 1.9297,              0.0003632,              0.0003632,              0.0003632
                    126,                0.85916,                0.59942,                 1.1345,                0.83251,                0.74896,                0.80809,                0.43365,                 1.6881,                0.92353,                 1.9518,                0.00035,                0.00035,                0.00035
                    127,                0.86251,                0.59483,                 1.1262,                0.82384,                0.72945,                0.81827,                0.43588,                 1.6888,                0.90612,                 1.9303,              0.0003368,              0.0003368,              0.0003368
                    128,                0.84881,                0.58912,                 1.1259,                0.79313,                 0.7774,                  0.813,                0.44443,                  1.669,                0.90762,                 1.9152,              0.0003236,              0.0003236,              0.0003236
                    129,                0.83635,                0.57907,                 1.1113,                0.80534,                0.76508,                0.81377,                0.44814,                 1.6773,                0.87276,                 1.9524,              0.0003104,              0.0003104,              0.0003104
                    130,                0.84707,                0.58213,                 1.1231,                 0.8336,                0.71918,                0.82806,                0.44319,                 1.6757,                0.92034,                 1.9411,              0.0002972,              0.0002972,              0.0002972
                    131,                0.83037,                0.58642,                 1.1118,                0.81184,                   0.75,                0.80199,                0.43622,                 1.7042,                0.89681,                 1.9707,               0.000284,               0.000284,               0.000284
                    132,                0.82942,                0.57482,                  1.117,                0.76928,                0.75365,                0.80722,                 0.4455,                 1.6766,                0.89415,                 1.9649,              0.0002708,              0.0002708,              0.0002708
                    133,                0.83252,                0.57793,                 1.1233,                0.84512,                0.71233,                0.81424,                 0.4376,                 1.6847,                0.92103,                 1.9417,              0.0002576,              0.0002576,              0.0002576
                    134,                0.81547,                0.56731,                  1.114,                0.84012,                0.71981,                0.81488,                0.43294,                 1.7307,                0.91329,                 2.0095,              0.0002444,              0.0002444,              0.0002444
                    135,                0.80855,                0.55276,                 1.1055,                0.76907,                0.78697,                0.82837,                0.43974,                 1.7056,                0.87597,                 1.9849,              0.0002312,              0.0002312,              0.0002312
                    136,                0.83871,                0.58682,                 1.1246,                0.83429,                0.72415,                0.81099,                0.44615,                  1.668,                0.86123,                 1.9445,               0.000218,               0.000218,               0.000218
                    137,                0.79919,                0.55742,                 1.1089,                0.82986,                0.73498,                0.81471,                0.44792,                 1.6932,                0.86464,                 1.9879,              0.0002048,              0.0002048,              0.0002048
                    138,                0.82408,                0.57038,                 1.1103,                0.82179,                0.75342,                0.82958,                0.45052,                 1.6696,                0.87353,                 1.9364,              0.0001916,              0.0001916,              0.0001916
                    139,                0.79417,                0.55095,                 1.0976,                0.81804,                   0.75,                0.81285,                0.44829,                 1.6547,                0.87016,                 1.9248,              0.0001784,              0.0001784,              0.0001784
                    140,                0.79769,                0.55183,                 1.0974,                0.79515,                0.77102,                0.81311,                0.45059,                 1.6571,                0.88655,                 1.9443,              0.0001652,              0.0001652,              0.0001652
